"Szál";"IntervallumTól";"IntervallumIg";"Megtalált prímek száma";"Indulási idõ";"Idõ";"Összefoglaló";"Módszer"
"1";"1";"12500";"1492";"1471900076578";"31";"";""
"4";"37501";"50000";"1165";"1471900076600";"9";"";""
"8";"87501";"100000";"1100";"1471900076607";"2";"";""
"8";"1";"100000";"9592";"1471900076578";"51";"true";"Prim2"
"1";"1";"125000";"11734";"1471900076660";"524";"";""
"2";"125001";"250000";"10310";"1471900076629";"739";"";""
"3";"250001";"375000";"9860";"1471900076629";"788";"";""
"4";"375001";"500000";"9634";"1471900076629";"762";"";""
"5";"500001";"625000";"9448";"1471900076629";"810";"";""
"6";"625001";"750000";"9252";"1471900076676";"832";"";""
"7";"750001";"875000";"9210";"1471900076676";"834";"";""
"8";"875001";"1000000";"9050";"1471900076676";"844";"";""
"8";"1";"1000000";"78498";"1471900076629";"894";"true";"Prim2"
"3";"223";"333";"20";"1471900077594";"0";"";""
"5";"445";"555";"15";"1471900077594";"0";"";""
"1";"1";"111";"29";"1471900077594";"0";"";""
"4";"334";"444";"19";"1471900077594";"0";"";""
"2";"112";"222";"18";"1471900077594";"0";"";""
"8";"778";"888";"17";"1471900077594";"0";"";""
"9";"889";"1000";"14";"1471900077594";"0";"";""
"7";"667";"777";"16";"1471900077594";"0";"";""
"6";"556";"666";"20";"1471900077594";"0";"";""
"9";"1";"1000";"168";"1471900077594";"20";"true";"Prim2"
"2";"1112";"2222";"145";"1471900077614";"0";"";""
"5";"4445";"5555";"129";"1471900077614";"0";"";""
"4";"3334";"4444";"133";"1471900077614";"0";"";""
"1";"1";"1111";"186";"1471900077614";"0";"";""
"3";"2223";"3333";"139";"1471900077614";"0";"";""
"7";"6667";"7777";"126";"1471900077630";"1";"";""
"9";"8889";"10000";"122";"1471900077630";"1";"";""
"8";"7778";"8888";"122";"1471900077614";"0";"";""
"6";"5556";"6666";"127";"1471900077614";"0";"";""
"9";"1";"10000";"1229";"1471900077614";"32";"true";"Prim2"
"2";"11112";"22222";"1144";"1471900077651";"4";"";""
"4";"33334";"44444";"1050";"1471900077651";"4";"";""
"3";"22223";"33333";"1080";"1471900077651";"4";"";""
"7";"66667";"77777";"1000";"1471900077655";"20";"";""
"6";"55556";"66666";"1008";"1471900077655";"19";"";""
"1";"1";"11111";"1345";"1471900077655";"0";"";""
"8";"77778";"88888";"966";"1471900077655";"23";"";""
"5";"44445";"55555";"1018";"1471900077655";"21";"";""
"9";"88889";"100000";"981";"1471900077676";"15";"";""
"9";"1";"100000";"9592";"1471900077650";"43";"true";"Prim2"
"1";"1";"111111";"10544";"1471900077696";"554";"";""
"2";"111112";"222222";"9253";"1471900077696";"665";"";""
"3";"222223";"333333";"8868";"1471900077696";"727";"";""
"4";"333334";"444444";"8634";"1471900077696";"716";"";""
"6";"555556";"666666";"8329";"1471900077733";"727";"";""
"5";"444445";"555555";"8441";"1471900077757";"756";"";""
"7";"666667";"777777";"8232";"1471900077733";"800";"";""
"8";"777778";"888888";"8177";"1471900077733";"802";"";""
"9";"888889";"1000000";"8020";"1471900077733";"819";"";""
"9";"1";"1000000";"78498";"1471900077696";"859";"true";"Prim2"
"2";"101";"200";"21";"1471900078630";"0";"";""
"3";"201";"300";"16";"1471900078630";"0";"";""
"1";"1";"100";"25";"1471900078630";"0";"";""
"7";"601";"700";"16";"1471900078630";"0";"";""
"6";"501";"600";"14";"1471900078630";"0";"";""
"5";"401";"500";"17";"1471900078630";"0";"";""
"4";"301";"400";"16";"1471900078630";"0";"";""
"9";"801";"900";"15";"1471900078630";"0";"";""
"10";"901";"1000";"14";"1471900078630";"0";"";""
"8";"701";"800";"14";"1471900078630";"0";"";""
"10";"1";"1000";"168";"1471900078630";"28";"true";"Prim2"
"2";"1001";"2000";"135";"1471900078663";"0";"";""
"3";"2001";"3000";"127";"1471900078664";"0";"";""
"1";"1";"1000";"168";"1471900078664";"0";"";""
"4";"3001";"4000";"120";"1471900078663";"0";"";""
"9";"8001";"9000";"110";"1471900078669";"0";"";""
"10";"9001";"10000";"112";"1471900078668";"1";"";""
"5";"4001";"5000";"119";"1471900078668";"1";"";""
"8";"7001";"8000";"107";"1471900078668";"0";"";""
