"Szál";"IntervallumTól";"IntervallumIg";"Megtalált prímek száma";"Indulási idő";"Idő";"Összefoglaló";"Módszer"
"3";"2500001";"3750000";"83645";"1475227688756";"5922";"";""
"4";"3750001";"5000000";"81796";"1475227688789";"6440";"";""
"5";"5000001";"6250000";"80303";"1475227688843";"6599";"";""
"6";"6250001";"7500000";"79445";"1475227688926";"6778";"";""
"7";"7500001";"8750000";"78589";"1475227689000";"7005";"";""
"8";"8750001";"10000000";"77729";"1475227689051";"7140";"";""
"8";"1";"10000000";"664579";"1475227688754";"7437";"true";"Prim2"
"1";"1";"1111";"186";"1475227696209";"0";"";""
"2";"1112";"2222";"145";"1475227696209";"0";"";""
"3";"2223";"3333";"139";"1475227696210";"0";"";""
"4";"3334";"4444";"133";"1475227696211";"0";"";""
"5";"4445";"5555";"129";"1475227696212";"0";"";""
"6";"5556";"6666";"127";"1475227696212";"0";"";""
"7";"6667";"7777";"126";"1475227696213";"0";"";""
"8";"7778";"8888";"122";"1475227696213";"0";"";""
"9";"8889";"10000";"122";"1475227696214";"0";"";""
"9";"1";"10000";"1229";"1475227696209";"4";"true";"Prim2"
"1";"1";"11111";"1345";"1475227696216";"1";"";""
"3";"22223";"33333";"1080";"1475227696216";"4";"";""
"2";"11112";"22222";"1144";"1475227696216";"4";"";""
"4";"33334";"44444";"1050";"1475227696216";"6";"";""
"5";"44445";"55555";"1018";"1475227696218";"8";"";""
"6";"55556";"66666";"1008";"1475227696222";"5";"";""
"7";"66667";"77777";"1000";"1475227696223";"5";"";""
"8";"77778";"88888";"966";"1475227696223";"6";"";""
"9";"88889";"100000";"981";"1475227696227";"5";"";""
"9";"1";"100000";"9592";"1475227696215";"17";"true";"Prim2"
"1";"1";"111111";"10544";"1475227696233";"49";"";""
"2";"111112";"222222";"9253";"1475227696233";"80";"";""
"3";"222223";"333333";"8868";"1475227696233";"101";"";""
"4";"333334";"444444";"8634";"1475227696233";"121";"";""
"5";"444445";"555555";"8441";"1475227696282";"126";"";""
"7";"666667";"777777";"8232";"1475227696340";"141";"";""
"6";"555556";"666666";"8329";"1475227696320";"162";"";""
"8";"777778";"888888";"8177";"1475227696355";"142";"";""
"9";"888889";"1000000";"8020";"1475227696389";"125";"";""
"9";"1";"1000000";"78498";"1475227696232";"282";"true";"Prim2"
"1";"1";"1111111";"86537";"1475227696516";"2688";"";""
"2";"1111112";"2222222";"77628";"1475227696516";"4177";"";""
"3";"2222223";"3333333";"74954";"1475227696516";"5167";"";""
"4";"3333334";"4444444";"73178";"1475227696517";"5647";"";""
"5";"4444445";"5555555";"72029";"1475227696555";"5916";"";""
"6";"5555556";"6666666";"71055";"1475227696652";"6276";"";""
"7";"6666667";"7777777";"70382";"1475227696710";"6381";"";""
"8";"7777778";"8888888";"69770";"1475227696902";"6418";"";""
"9";"8888889";"10000000";"69046";"1475227697052";"6462";"";""
"9";"1";"10000000";"664579";"1475227696516";"6999";"true";"Prim2"
"1";"1";"1000";"168";"1475227703531";"0";"";""
"2";"1001";"2000";"135";"1475227703531";"0";"";""
"3";"2001";"3000";"127";"1475227703532";"0";"";""
"4";"3001";"4000";"120";"1475227703533";"0";"";""
"5";"4001";"5000";"119";"1475227703533";"0";"";""
"6";"5001";"6000";"114";"1475227703534";"0";"";""
"7";"6001";"7000";"117";"1475227703535";"1";"";""
"8";"7001";"8000";"107";"1475227703538";"0";"";""
"9";"8001";"9000";"110";"1475227703538";"0";"";""
"10";"9001";"10000";"112";"1475227703538";"0";"";""
"10";"1";"10000";"1229";"1475227703530";"10";"true";"Prim2"
"1";"1";"10000";"1229";"1475227703541";"2";"";""
"2";"10001";"20000";"1033";"1475227703542";"3";"";""
"3";"20001";"30000";"983";"1475227703542";"3";"";""
"4";"30001";"40000";"958";"1475227703544";"4";"";""
"5";"40001";"50000";"930";"1475227703547";"4";"";""
"6";"50001";"60000";"924";"1475227703547";"4";"";""
"7";"60001";"70000";"878";"1475227703550";"4";"";""
"8";"70001";"80000";"902";"1475227703551";"5";"";""
"9";"80001";"90000";"876";"1475227703554";"5";"";""
"10";"90001";"100000";"879";"1475227703556";"5";"";""
"10";"1";"100000";"9592";"1475227703541";"19";"true";"Prim2"
"1";"1";"100000";"9592";"1475227703563";"46";"";""
"2";"100001";"200000";"8392";"1475227703563";"72";"";""
"3";"200001";"300000";"8013";"1475227703563";"93";"";""
"4";"300001";"400000";"7863";"1475227703601";"95";"";""
"5";"400001";"500000";"7678";"1475227703637";"132";"";""
"6";"500001";"600000";"7560";"1475227703663";"142";"";""
"8";"700001";"800000";"7408";"1475227703707";"160";"";""
"9";"800001";"900000";"7323";"1475227703766";"175";"";""
"7";"600001";"700000";"7445";"1475227703674";"205";"";""
"10";"900001";"1000000";"7224";"1475227703845";"149";"";""
"10";"1";"1000000";"78498";"1475227703562";"434";"true";"Prim2"
"1";"1";"1000000";"78498";"1475227703998";"2460";"";""
"2";"1000001";"2000000";"70435";"1475227704001";"4183";"";""
"3";"2000001";"3000000";"67883";"1475227704044";"5047";"";""
"4";"3000001";"4000000";"66330";"1475227704120";"5772";"";""
"5";"4000001";"5000000";"65367";"1475227704187";"6127";"";""
"6";"5000001";"6000000";"64336";"1475227704235";"6434";"";""
"7";"6000001";"7000000";"63799";"1475227704440";"6669";"";""
"8";"7000001";"8000000";"63129";"1475227704575";"6666";"";""
"9";"8000001";"9000000";"62712";"1475227704718";"6810";"";""
"10";"9000001";"10000000";"62090";"1475227704932";"6767";"";""
"10";"1";"10000000";"664579";"1475227703998";"7702";"true";"Prim2"
"1";"1";"909";"155";"1475227711739";"0";"";""
"2";"910";"1818";"125";"1475227711739";"0";"";""
"3";"1819";"2727";"117";"1475227711740";"0";"";""
"4";"2728";"3636";"111";"1475227711740";"0";"";""
"5";"3637";"4545";"107";"1475227711740";"1";"";""
"6";"4546";"5454";"106";"1475227711741";"0";"";""
"7";"5455";"6363";"108";"1475227711743";"0";"";""
"8";"6364";"7272";"99";"1475227711743";"0";"";""
"9";"7273";"8181";"99";"1475227711743";"0";"";""
"10";"8182";"9090";"100";"1475227711744";"0";"";""
"11";"9091";"10000";"102";"1475227711745";"0";"";""
"11";"1";"10000";"1229";"1475227711738";"8";"true";"Prim2"
"1";"1";"9090";"1127";"1475227711747";"2";"";""
"2";"9091";"18180";"955";"1475227711748";"1";"";""
"3";"18181";"27270";"902";"1475227711749";"3";"";""
"4";"27271";"36360";"874";"1475227711750";"4";"";""
"5";"36361";"45450";"856";"1475227711751";"4";"";""
"6";"45451";"54540";"835";"1475227711754";"3";"";""
"7";"54541";"63630";"830";"1475227711755";"4";"";""
"8";"63631";"72720";"813";"1475227711756";"4";"";""
"9";"72721";"81810";"808";"1475227711760";"4";"";""
"10";"81811";"90900";"792";"1475227711761";"5";"";""
"11";"90901";"100000";"800";"1475227711762";"4";"";""
"11";"1";"100000";"9592";"1475227711747";"19";"true";"Prim2"
"1";"1";"90909";"8794";"1475227711768";"44";"";""
"2";"90910";"181818";"7683";"1475227711768";"60";"";""
"3";"181819";"272727";"7388";"1475227711771";"75";"";""
"4";"272728";"363636";"7170";"1475227711803";"85";"";""
"5";"363637";"454545";"7015";"1475227711836";"94";"";""
"6";"454546";"545454";"6927";"1475227711846";"100";"";""
"7";"545455";"636363";"6848";"1475227711881";"101";"";""
"8";"636364";"727272";"6761";"1475227711918";"121";"";""
"9";"727273";"818181";"6696";"1475227711950";"123";"";""
"10";"818182";"909090";"6671";"1475227711966";"125";"";""
"11";"909091";"1000000";"6545";"1475227712016";"155";"";""
"11";"1";"1000000";"78498";"1475227711767";"403";"true";"Prim2"
"1";"1";"909090";"71953";"1475227712174";"2120";"";""
"2";"909091";"1818180";"64374";"1475227712211";"3477";"";""
"3";"1818181";"2727270";"62156";"1475227712257";"4647";"";""
"4";"2727271";"3636360";"60703";"1475227712305";"5146";"";""
"5";"3636361";"4545450";"59687";"1475227712363";"5524";"";""
"6";"4545451";"5454540";"59003";"1475227712492";"5765";"";""
"7";"5454541";"6363630";"58245";"1475227712600";"5989";"";""
"8";"6363631";"7272720";"57812";"1475227712714";"6274";"";""
"9";"7272721";"8181810";"57237";"1475227712910";"6229";"";""
"10";"8181811";"9090900";"56942";"1475227713125";"6101";"";""
"11";"9090901";"10000000";"56467";"1475227713454";"5929";"";""
"11";"1";"10000000";"664579";"1475227712172";"7211";"true";"Prim2"
"1";"1";"833";"145";"1475227719418";"0";"";""
"2";"834";"1666";"116";"1475227719418";"1";"";""
"3";"1667";"2499";"106";"1475227719419";"1";"";""
"4";"2500";"3332";"103";"1475227719420";"0";"";""
"5";"3333";"4165";"103";"1475227719421";"0";"";""
"6";"4166";"4998";"95";"1475227719422";"0";"";""
"7";"4999";"5831";"97";"1475227719423";"0";"";""
"8";"5832";"6664";"94";"1475227719424";"0";"";""
"9";"6665";"7497";"90";"1475227719426";"0";"";""
"10";"7498";"8330";"96";"1475227719426";"0";"";""
"11";"8331";"9163";"91";"1475227719427";"0";"";""
"12";"9164";"10000";"93";"1475227719428";"1";"";""
"12";"1";"10000";"1229";"1475227719417";"14";"true";"Prim2"
"1";"1";"8333";"1045";"1475227719432";"1";"";""
