"Szál";"IntervallumTól";"IntervallumIg";"Megtalált prímek száma";"Indulási idõ";"Idõ";"Összefoglaló";"Módszer"
"7";"7501";"8750";"141";"1475227052071";"2";"";""
"8";"1";"10000";"1229";"1475227052062";"11";"true";"Prim2"
"1";"1";"12500";"1492";"1475227052076";"4";"";""
"2";"12501";"25000";"1270";"1475227052076";"5";"";""
"4";"37501";"50000";"1165";"1475227052085";"8";"";""
"3";"25001";"37500";"1206";"1475227052085";"8";"";""
"5";"50001";"62500";"1142";"1475227052095";"9";"";""
"6";"62501";"75000";"1118";"1475227052095";"9";"";""
"7";"75001";"87500";"1099";"1475227052096";"8";"";""
"8";"87501";"100000";"1100";"1475227052104";"10";"";""
"8";"1";"100000";"9592";"1475227052074";"41";"true";"Prim2"
"2";"125001";"250000";"10310";"1475227052121";"219";"";""
"3";"250001";"375000";"9860";"1475227052121";"256";"";""
"4";"375001";"500000";"9634";"1475227052121";"276";"";""
"6";"625001";"750000";"9252";"1475227052218";"225";"";""
"5";"500001";"625000";"9448";"1475227052218";"279";"";""
"8";"875001";"1000000";"9050";"1475227052218";"310";"";""
"7";"750001";"875000";"9210";"1475227052218";"324";"";""
"1";"1";"125000";"11734";"1475227052121";"488";"";""
"8";"1";"1000000";"78498";"1475227052115";"494";"true";"Prim2"
"1";"1";"1250000";"96469";"1475227052612";"2749";"";""
"2";"1250001";"2500000";"86603";"1475227052612";"4344";"";""
"3";"2500001";"3750000";"83645";"1475227052612";"5210";"";""
"4";"3750001";"5000000";"81796";"1475227052612";"5932";"";""
"5";"5000001";"6250000";"80303";"1475227052612";"6456";"";""
"6";"6250001";"7500000";"79445";"1475227052711";"7284";"";""
"8";"8750001";"10000000";"77729";"1475227055627";"10815";"";""
"7";"7500001";"8750000";"78589";"1475227055627";"12794";"";""
"8";"1";"10000000";"664579";"1475227052609";"15816";"true";"Prim2"
"1";"1";"1111";"186";"1475227068431";"0";"";""
"2";"1112";"2222";"145";"1475227068432";"3";"";""
"3";"2223";"3333";"139";"1475227068435";"1";"";""
"4";"3334";"4444";"133";"1475227068439";"0";"";""
"5";"4445";"5555";"129";"1475227068439";"2";"";""
"6";"5556";"6666";"127";"1475227068441";"1";"";""
"7";"6667";"7777";"126";"1475227068447";"0";"";""
"8";"7778";"8888";"122";"1475227068472";"4";"";""
"9";"8889";"10000";"122";"1475227068482";"1";"";""
"9";"1";"10000";"1229";"1475227068425";"58";"true";"Prim2"
"1";"1";"11111";"1345";"1475227068491";"13";"";""
"2";"11112";"22222";"1144";"1475227068511";"9";"";""
"3";"22223";"33333";"1080";"1475227068524";"6";"";""
"4";"33334";"44444";"1050";"1475227068534";"9";"";""
"5";"44445";"55555";"1018";"1475227068556";"9";"";""
"6";"55556";"66666";"1008";"1475227068576";"9";"";""
"7";"66667";"77777";"1000";"1475227068600";"13";"";""
"8";"77778";"88888";"966";"1475227068622";"19";"";""
"9";"88889";"100000";"981";"1475227068644";"12";"";""
"9";"1";"100000";"9592";"1475227068484";"176";"true";"Prim2"
"1";"1";"111111";"10544";"1475227068681";"263";"";""
"2";"111112";"222222";"9253";"1475227068681";"273";"";""
"3";"222223";"333333";"8868";"1475227068812";"243";"";""
"4";"333334";"444444";"8634";"1475227068959";"363";"";""
"5";"444445";"555555";"8441";"1475227069128";"298";"";""
"6";"555556";"666666";"8329";"1475227069092";"368";"";""
"7";"666667";"777777";"8232";"1475227069101";"429";"";""
"9";"888889";"1000000";"8020";"1475227069463";"324";"";""
"8";"777778";"888888";"8177";"1475227069463";"347";"";""
"9";"1";"1000000";"78498";"1475227068672";"1142";"true";"Prim2"
"1";"1";"1111111";"86537";"1475227069824";"3244";"";""
"2";"1111112";"2222222";"77628";"1475227069835";"5385";"";""
"3";"2222223";"3333333";"74954";"1475227069835";"6374";"";""
"4";"3333334";"4444444";"73178";"1475227069947";"8290";"";""
"5";"4444445";"5555555";"72029";"1475227070463";"9529";"";""
"6";"5555556";"6666666";"71055";"1475227071015";"9702";"";""
"7";"6666667";"7777777";"70382";"1475227071494";"10366";"";""
"8";"7777778";"8888888";"69770";"1475227071903";"10549";"";""
"9";"8888889";"10000000";"69046";"1475227072403";"10746";"";""
"9";"1";"10000000";"664579";"1475227069821";"13329";"true";"Prim2"
"2";"1001";"2000";"135";"1475227083153";"0";"";""
"3";"2001";"3000";"127";"1475227083153";"0";"";""
"1";"1";"1000";"168";"1475227083153";"0";"";""
"4";"3001";"4000";"120";"1475227083156";"0";"";""
"5";"4001";"5000";"119";"1475227083156";"0";"";""
"6";"5001";"6000";"114";"1475227083157";"2";"";""
"7";"6001";"7000";"117";"1475227083157";"2";"";""
"10";"9001";"10000";"112";"1475227083161";"0";"";""
"9";"8001";"9000";"110";"1475227083161";"0";"";""
"8";"7001";"8000";"107";"1475227083160";"1";"";""
"10";"1";"10000";"1229";"1475227083150";"14";"true";"Prim2"
"2";"10001";"20000";"1033";"1475227083165";"7";"";""
"3";"20001";"30000";"983";"1475227083165";"7";"";""
"4";"30001";"40000";"958";"1475227083165";"7";"";""
"6";"50001";"60000";"924";"1475227083174";"5";"";""
"5";"40001";"50000";"930";"1475227083174";"7";"";""
"7";"60001";"70000";"878";"1475227083174";"8";"";""
"1";"1";"10000";"1229";"1475227083165";"18";"";""
"8";"70001";"80000";"902";"1475227083182";"8";"";""
"9";"80001";"90000";"876";"1475227083183";"7";"";""
"10";"90001";"100000";"879";"1475227083183";"11";"";""
"10";"1";"100000";"9592";"1475227083164";"30";"true";"Prim2"
"1";"1";"100000";"9592";"1475227083196";"192";"";""
"2";"100001";"200000";"8392";"1475227083196";"304";"";""
"3";"200001";"300000";"8013";"1475227083196";"341";"";""
"4";"300001";"400000";"7863";"1475227083240";"468";"";""
"6";"500001";"600000";"7560";"1475227083240";"527";"";""
"5";"400001";"500000";"7678";"1475227083240";"529";"";""
"8";"700001";"800000";"7408";"1475227083240";"732";"";""
"7";"600001";"700000";"7445";"1475227083240";"734";"";""
"10";"900001";"1000000";"7224";"1475227083808";"524";"";""
"9";"800001";"900000";"7323";"1475227083808";"587";"";""
"10";"1";"1000000";"78498";"1475227083196";"1203";"true";"Prim2"
"1";"1";"1000000";"78498";"1475227084431";"3066";"";""
"2";"1000001";"2000000";"70435";"1475227084417";"5115";"";""
"3";"2000001";"3000000";"67883";"1475227084840";"5650";"";""
"4";"3000001";"4000000";"66330";"1475227084431";"7308";"";""
"5";"4000001";"5000000";"65367";"1475227085173";"13483";"";""
"6";"5000001";"6000000";"64336";"1475227085188";"14551";"";""
"8";"7000001";"8000000";"63129";"1475227085408";"15002";"";""
"9";"8000001";"9000000";"62712";"1475227085825";"14932";"";""
"7";"6000001";"7000000";"63799";"1475227086297";"14482";"";""
"10";"9000001";"10000000";"62090";"1475227086947";"14553";"";""
"10";"1";"10000000";"664579";"1475227084401";"17099";"true";"Prim2"
"1";"1";"909";"155";"1475227101505";"0";"";""
"2";"910";"1818";"125";"1475227101505";"0";"";""
"3";"1819";"2727";"117";"1475227101505";"0";"";""
"4";"2728";"3636";"111";"1475227101507";"0";"";""
"5";"3637";"4545";"107";"1475227101508";"0";"";""
"6";"4546";"5454";"106";"1475227101508";"0";"";""
"7";"5455";"6363";"108";"1475227101508";"0";"";""
"9";"7273";"8181";"99";"1475227101511";"1";"";""
"10";"8182";"9090";"100";"1475227101511";"1";"";""
"11";"9091";"10000";"102";"1475227101511";"1";"";""
"8";"6364";"7272";"99";"1475227101511";"1";"";""
"11";"1";"10000";"1229";"1475227101503";"11";"true";"Prim2"
"1";"1";"9090";"1127";"1475227101516";"4";"";""
"2";"9091";"18180";"955";"1475227101518";"2";"";""
"4";"27271";"36360";"874";"1475227101522";"5";"";""
"5";"36361";"45450";"856";"1475227101522";"5";"";""
"7";"54541";"63630";"830";"1475227101522";"5";"";""
"6";"45451";"54540";"835";"1475227101522";"7";"";""
"3";"18181";"27270";"902";"1475227101522";"11";"";""
"8";"63631";"72720";"813";"1475227101527";"7";"";""
"10";"81811";"90900";"792";"1475227101530";"7";"";""
"11";"90901";"100000";"800";"1475227101530";"8";"";""
"9";"72721";"81810";"808";"1475227101530";"12";"";""
"11";"1";"100000";"9592";"1475227101515";"29";"true";"Prim2"
"3";"181819";"272727";"7388";"1475227101592";"99";"";""
"1";"1";"90909";"8794";"1475227101545";"151";"";""
"2";"90910";"181818";"7683";"1475227101547";"183";"";""
"4";"272728";"363636";"7170";"1475227101590";"173";"";""
"6";"454546";"545454";"6927";"1475227101592";"200";"";""
"5";"363637";"454545";"7015";"1475227101590";"224";"";""
"9";"727273";"818181";"6696";"1475227101699";"167";"";""
"10";"818182";"909090";"6671";"1475227101699";"196";"";""
"8";"636364";"727272";"6761";"1475227101699";"206";"";""
"11";"909091";"1000000";"6545";"1475227101795";"170";"";""
"7";"545455";"636363";"6848";"1475227101590";"456";"";""
"11";"1";"1000000";"78498";"1475227101545";"501";"true";"Prim2"
"1";"1";"909090";"71953";"1475227102049";"1785";"";""
"2";"909091";"1818180";"64374";"1475227102049";"2955";"";""
"3";"1818181";"2727270";"62156";"1475227102049";"4227";"";""
"4";"2727271";"3636360";"60703";"1475227102049";"5061";"";""
"5";"3636361";"4545450";"59687";"1475227102049";"6155";"";""
"6";"4545451";"5454540";"59003";"1475227102049";"6597";"";""
"7";"5454541";"6363630";"58245";"1475227104047";"6681";"";""
"8";"6363631";"7272720";"57812";"1475227104047";"6941";"";""
"9";"7272721";"8181810";"57237";"1475227104047";"7145";"";""
"10";"8181811";"9090900";"56942";"1475227104047";"7625";"";""
"11";"9090901";"10000000";"56467";"1475227104047";"7989";"";""
"11";"1";"10000000";"664579";"1475227102046";"9997";"true";"Prim2"
"2";"834";"1666";"116";"1475227112046";"0";"";""
"3";"1667";"2499";"106";"1475227112046";"0";"";""
"1";"1";"833";"145";"1475227112046";"1";"";""
"4";"2500";"3332";"103";"1475227112048";"0";"";""
"5";"3333";"4165";"103";"1475227112048";"0";"";""
"6";"4166";"4998";"95";"1475227112051";"2";"";""
"9";"6665";"7497";"90";"1475227112054";"1";"";""
"10";"7498";"8330";"96";"1475227112054";"1";"";""
"7";"4999";"5831";"97";"1475227112054";"1";"";""
"12";"9164";"10000";"93";"1475227112058";"0";"";""
"11";"8331";"9163";"91";"1475227112058";"1";"";""
"8";"5832";"6664";"94";"1475227112061";"0";"";""
"12";"1";"10000";"1229";"1475227112044";"18";"true";"Prim2"
"2";"8334";"16666";"883";"1475227112072";"4";"";""
"3";"16667";"24999";"834";"1475227112072";"4";"";""
"5";"33333";"41665";"790";"1475227112077";"6";"";""
"6";"41666";"49998";"773";"1475227112077";"6";"";""
"7";"49999";"58331";"773";"1475227112077";"7";"";""
"1";"1";"8333";"1045";"1475227112072";"18";"";""
"4";"25000";"33332";"807";"1475227112077";"18";"";""
"9";"66665";"74997";"748";"1475227112099";"7";"";""
"8";"58332";"66664";"740";"1475227112099";"10";"";""
"11";"83331";"91663";"725";"1475227112110";"6";"";""
"12";"91664";"100000";"733";"1475227112110";"7";"";""
"10";"74998";"83330";"741";"1475227112110";"11";"";""
"12";"1";"100000";"9592";"1475227112065";"56";"true";"Prim2"
"4";"250000";"333332";"6621";"1475227112151";"142";"";""
"1";"1";"83333";"8134";"1475227112123";"184";"";""
"2";"83334";"166666";"7091";"1475227112127";"248";"";""
"5";"333333";"416665";"6466";"1475227112151";"232";"";""
"6";"416666";"499998";"6407";"1475227112151";"241";"";""
"3";"166667";"249999";"6819";"1475227112151";"243";"";""
"7";"499999";"583331";"6300";"1475227112151";"247";"";""
"8";"583332";"666664";"6231";"1475227112186";"234";"";""
"9";"666665";"749997";"6169";"1475227112191";"232";"";""
"10";"749998";"833330";"6181";"1475227112194";"244";"";""
"12";"916664";"1000000";"6009";"1475227112415";"151";"";""
"11";"833331";"916663";"6070";"1475227112415";"152";"";""
"12";"1";"1000000";"78498";"1475227112121";"446";"true";"Prim2"
"1";"1";"833333";"66419";"1475227112570";"2715";"";""
"2";"833334";"1666666";"59377";"1475227112570";"4541";"";""
"3";"1666667";"2499999";"57276";"1475227112570";"5385";"";""
"4";"2500000";"3333332";"56047";"1475227112570";"6564";"";""
"5";"3333333";"4166665";"55022";"1475227112613";"7143";"";""
"6";"4166666";"4999998";"54371";"1475227112635";"7703";"";""
"7";"4999999";"5833331";"53610";"1475227112636";"8394";"";""
"8";"5833332";"6666664";"53259";"1475227112641";"8553";"";""
"9";"6666665";"7499997";"52880";"1475227113400";"8504";"";""
"10";"7499998";"8333330";"52429";"1475227114074";"8380";"";""
"11";"8333331";"9166663";"52127";"1475227114833";"8091";"";""
"12";"9166664";"10000000";"51762";"1475227115622";"8352";"";""
"12";"1";"10000000";"664579";"1475227112569";"11432";"true";"Prim2"
"1";"1";"769";"136";"1475227124030";"0";"";""
"2";"770";"1538";"106";"1475227124031";"0";"";""
"3";"1539";"2307";"100";"1475227124031";"10";"";""
"4";"2308";"3076";"97";"1475227124041";"4";"";""
"5";"3077";"3845";"93";"1475227124046";"2";"";""
"6";"3846";"4614";"91";"1475227124048";"0";"";""
"7";"4615";"5383";"86";"1475227124049";"0";"";""
"8";"5384";"6152";"93";"1475227124049";"1";"";""
"9";"6153";"6921";"88";"1475227124050";"0";"";""
"10";"6922";"7690";"85";"1475227124050";"0";"";""
"12";"8460";"9228";"87";"1475227124050";"3";"";""
"11";"7691";"8459";"82";"1475227124050";"3";"";""
"13";"9229";"10000";"85";"1475227124053";"0";"";""
"13";"1";"10000";"1229";"1475227124004";"97";"true";"Prim2"
"2";"7693";"15384";"822";"1475227124105";"3";"";""
"1";"1";"7692";"976";"1475227124105";"3";"";""
"4";"23077";"30768";"740";"1475227124111";"4";"";""
"3";"15385";"23076";"779";"1475227124111";"7";"";""
"5";"30769";"38460";"740";"1475227124130";"6";"";""
"6";"38461";"46152";"717";"1475227124164";"6";"";""
"7";"46153";"53844";"710";"1475227124164";"9";"";""
"9";"61537";"69228";"685";"1475227124174";"4";"";""
"8";"53845";"61536";"705";"1475227124174";"7";"";""
"11";"76921";"84612";"683";"1475227124232";"16";"";""
"12";"84613";"92304";"668";"1475227124265";"8";"";""
"10";"69229";"76920";"688";"1475227124274";"10";"";""
"13";"92305";"100000";"679";"1475227124284";"9";"";""
"13";"1";"100000";"9592";"1475227124103";"193";"true";"Prim2"
"2";"76924";"153846";"6613";"1475227124300";"62";"";""
"1";"1";"76923";"7562";"1475227124300";"77";"";""
"4";"230770";"307692";"6127";"1475227124381";"236";"";""
"5";"307693";"384615";"6026";"1475227124381";"280";"";""
"3";"153847";"230769";"6326";"1475227124381";"360";"";""
"6";"384616";"461538";"5921";"1475227124381";"472";"";""
"7";"461539";"538461";"5884";"1475227124768";"149";"";""
"8";"538462";"615384";"5797";"1475227124770";"175";"";""
"10";"692308";"769230";"5698";"1475227124857";"197";"";""
"9";"615385";"692307";"5721";"1475227124857";"209";"";""
"12";"846154";"923076";"5621";"1475227124948";"162";"";""
"11";"769231";"846153";"5660";"1475227124948";"297";"";""
"13";"923077";"1000000";"5542";"1475227124949";"393";"";""
"13";"1";"1000000";"78498";"1475227124298";"1045";"true";"Prim2"
"1";"1";"769230";"61675";"1475227125350";"2922";"";""
"2";"769231";"1538460";"55185";"1475227125703";"4239";"";""
"4";"2307691";"3076920";"51912";"1475227126047";"5203";"";""
"5";"3076921";"3846150";"51112";"1475227126069";"5380";"";""
"6";"3846151";"4615380";"50396";"1475227126112";"5704";"";""
"7";"4615381";"5384610";"49930";"1475227126117";"6035";"";""
"10";"6923071";"7692300";"48661";"1475227126143";"6768";"";""
"3";"1538461";"2307690";"53176";"1475227126036";"7060";"";""
"11";"7692301";"8461530";"48289";"1475227126150";"7000";"";""
"12";"8461531";"9230760";"48157";"1475227126165";"7203";"";""
"9";"6153841";"6923070";"49042";"1475227126138";"8060";"";""
"8";"5384611";"6153840";"49325";"1475227126134";"8550";"";""
"13";"9230761";"10000000";"47719";"1475227126172";"9657";"";""
"13";"1";"10000000";"664579";"1475227125347";"10483";"true";"Prim2"
"3";"1429";"2142";"98";"1475227135834";"0";"";""
"4";"2143";"2856";"91";"1475227135834";"0";"";""
"5";"2857";"3570";"85";"1475227135834";"0";"";""
"2";"715";"1428";"98";"1475227135834";"4";"";""
"1";"1";"714";"127";"1475227135834";"4";"";""
"6";"3571";"4284";"89";"1475227135840";"0";"";""
"7";"4285";"4998";"80";"1475227135840";"0";"";""
"8";"4999";"5712";"84";"1475227135840";"0";"";""
"9";"5713";"6426";"83";"1475227135841";"0";"";""
"10";"6427";"7140";"79";"1475227135843";"0";"";""
"11";"7141";"7854";"78";"1475227135843";"0";"";""
"12";"7855";"8568";"75";"1475227135843";"1";"";""
"14";"9283";"10000";"80";"1475227135848";"1";"";""
"13";"8569";"9282";"82";"1475227135848";"1";"";""
"14";"1";"10000";"1229";"1475227135832";"17";"true";"Prim2"
"2";"7143";"14284";"762";"1475227135855";"3";"";""
"4";"21427";"28568";"702";"1475227135855";"4";"";""
"3";"14285";"21426";"729";"1475227135855";"4";"";""
"5";"28569";"35710";"688";"1475227135855";"4";"";""
"1";"1";"7142";"914";"1475227135855";"7";"";""
"6";"35711";"42852";"685";"1475227135860";"3";"";""
"7";"42853";"49994";"652";"1475227135860";"3";"";""
"9";"57137";"64278";"642";"1475227135864";"6";"";""
"10";"64279";"71420";"639";"1475227135864";"7";"";""
"12";"78563";"85704";"633";"1475227135864";"7";"";""
"11";"71421";"78562";"634";"1475227135864";"7";"";""
"13";"85705";"92846";"628";"1475227135871";"4";"";""
"8";"49995";"57136";"661";"1475227135864";"13";"";""
"14";"92847";"100000";"623";"1475227135878";"7";"";""
"14";"1";"100000";"9592";"1475227135849";"37";"true";"Prim2"
"3";"142857";"214284";"5901";"1475227135908";"66";"";""
"4";"214285";"285712";"5747";"1475227135908";"79";"";""
"5";"285713";"357140";"5633";"1475227135908";"84";"";""
"6";"357141";"428568";"5512";"1475227135908";"90";"";""
"1";"1";"71428";"7074";"1475227135893";"221";"";""
"7";"428569";"499996";"5493";"1475227136000";"199";"";""
"8";"499997";"571424";"5397";"1475227136000";"214";"";""
"9";"571425";"642852";"5341";"1475227136000";"225";"";""
"10";"642853";"714280";"5345";"1475227136000";"225";"";""
"11";"714281";"785708";"5274";"1475227136000";"238";"";""
"13";"857137";"928564";"5227";"1475227136116";"134";"";""
"14";"928565";"1000000";"5133";"1475227136117";"141";"";""
