"Szál";"IntervallumTól";"IntervallumIg";"Megtalált prímek száma";"Indulási idő";"Idő";"Összefoglaló";"Módszer"
"3";"2857143";"4285713";"94653";"1475231993127";"3951";"";""
"4";"4285714";"5714284";"92618";"1475231993190";"4212";"";""
"5";"5714285";"7142855";"91183";"1475231993260";"4503";"";""
"6";"7142856";"8571426";"89924";"1475231993347";"4697";"";""
"7";"8571427";"10000000";"88947";"1475231993423";"4964";"";""
"7";"1";"10000000";"664579";"1475231993125";"5263";"true";"Prim2"
"1";"1";"1250";"204";"1475231998408";"0";"";""
"2";"1251";"2500";"163";"1475231998408";"0";"";""
"3";"2501";"3750";"155";"1475231998409";"0";"";""
"4";"3751";"5000";"147";"1475231998409";"0";"";""
"5";"5001";"6250";"143";"1475231998409";"1";"";""
"6";"6251";"7500";"138";"1475231998410";"0";"";""
"7";"7501";"8750";"141";"1475231998410";"1";"";""
"8";"8751";"10000";"138";"1475231998411";"1";"";""
"8";"1";"10000";"1229";"1475231998407";"5";"true";"Prim2"
"1";"1";"12500";"1492";"1475231998413";"2";"";""
"3";"25001";"37500";"1206";"1475231998414";"4";"";""
"2";"12501";"25000";"1270";"1475231998413";"4";"";""
"4";"37501";"50000";"1165";"1475231998419";"5";"";""
"5";"50001";"62500";"1142";"1475231998421";"4";"";""
"6";"62501";"75000";"1118";"1475231998422";"5";"";""
"7";"75001";"87500";"1099";"1475231998425";"5";"";""
"8";"87501";"100000";"1100";"1475231998429";"5";"";""
"8";"1";"100000";"9592";"1475231998413";"22";"true";"Prim2"
"1";"1";"125000";"11734";"1475231998436";"40";"";""
"2";"125001";"250000";"10310";"1475231998436";"63";"";""
"3";"250001";"375000";"9860";"1475231998437";"77";"";""
"4";"375001";"500000";"9634";"1475231998472";"86";"";""
"5";"500001";"625000";"9448";"1475231998506";"97";"";""
"6";"625001";"750000";"9252";"1475231998516";"124";"";""
"7";"750001";"875000";"9210";"1475231998549";"101";"";""
"8";"875001";"1000000";"9050";"1475231998603";"105";"";""
"8";"1";"1000000";"78498";"1475231998436";"273";"true";"Prim2"
"1";"1";"1250000";"96469";"1475231998709";"1980";"";""
"2";"1250001";"2500000";"86603";"1475231998710";"3017";"";""
"3";"2500001";"3750000";"83645";"1475231998711";"3487";"";""
"4";"3750001";"5000000";"81796";"1475231998744";"3925";"";""
"5";"5000001";"6250000";"80303";"1475231998810";"4251";"";""
"6";"6250001";"7500000";"79445";"1475231998925";"4347";"";""
"7";"7500001";"8750000";"78589";"1475231999031";"4511";"";""
"8";"8750001";"10000000";"77729";"1475231999204";"4541";"";""
"8";"1";"10000000";"664579";"1475231998709";"5036";"true";"Prim2"
"1";"1";"1111";"186";"1475232003758";"0";"";""
"2";"1112";"2222";"145";"1475232003758";"0";"";""
"3";"2223";"3333";"139";"1475232003758";"1";"";""
"4";"3334";"4444";"133";"1475232003759";"0";"";""
"5";"4445";"5555";"129";"1475232003759";"0";"";""
"6";"5556";"6666";"127";"1475232003759";"1";"";""
"7";"6667";"7777";"126";"1475232003760";"0";"";""
"8";"7778";"8888";"122";"1475232003760";"0";"";""
"9";"8889";"10000";"122";"1475232003760";"1";"";""
"9";"1";"10000";"1229";"1475232003757";"4";"true";"Prim2"
"1";"1";"11111";"1345";"1475232003762";"2";"";""
"2";"11112";"22222";"1144";"1475232003762";"2";"";""
"3";"22223";"33333";"1080";"1475232003763";"4";"";""
"4";"33334";"44444";"1050";"1475232003768";"4";"";""
"5";"44445";"55555";"1018";"1475232003769";"4";"";""
"6";"55556";"66666";"1008";"1475232003772";"3";"";""
"7";"66667";"77777";"1000";"1475232003772";"4";"";""
"8";"77778";"88888";"966";"1475232003773";"5";"";""
"9";"88889";"100000";"981";"1475232003774";"5";"";""
"9";"1";"100000";"9592";"1475232003761";"19";"true";"Prim2"
"1";"1";"111111";"10544";"1475232003780";"34";"";""
"2";"111112";"222222";"9253";"1475232003781";"52";"";""
"3";"222223";"333333";"8868";"1475232003781";"61";"";""
"4";"333334";"444444";"8634";"1475232003792";"72";"";""
"5";"444445";"555555";"8441";"1475232003816";"74";"";""
"6";"555556";"666666";"8329";"1475232003826";"78";"";""
"7";"666667";"777777";"8232";"1475232003845";"91";"";""
"8";"777778";"888888";"8177";"1475232003866";"90";"";""
"9";"888889";"1000000";"8020";"1475232003891";"85";"";""
"9";"1";"1000000";"78498";"1475232003780";"197";"true";"Prim2"
"1";"1";"1111111";"86537";"1475232003977";"1527";"";""
"2";"1111112";"2222222";"77628";"1475232003977";"2523";"";""
"3";"2222223";"3333333";"74954";"1475232003978";"2891";"";""
"4";"3333334";"4444444";"73178";"1475232003981";"3428";"";""
"5";"4444445";"5555555";"72029";"1475232004018";"3666";"";""
"6";"5555556";"6666666";"71055";"1475232004096";"3730";"";""
"7";"6666667";"7777777";"70382";"1475232004242";"3957";"";""
"8";"7777778";"8888888";"69770";"1475232004339";"4127";"";""
"9";"8888889";"10000000";"69046";"1475232004497";"4262";"";""
"9";"1";"10000000";"664579";"1475232003977";"4782";"true";"Prim2"
"1";"1";"1000";"168";"1475232008800";"0";"";""
"2";"1001";"2000";"135";"1475232008800";"0";"";""
"3";"2001";"3000";"127";"1475232008801";"0";"";""
"4";"3001";"4000";"120";"1475232008801";"0";"";""
"5";"4001";"5000";"119";"1475232008801";"0";"";""
"6";"5001";"6000";"114";"1475232008801";"1";"";""
"7";"6001";"7000";"117";"1475232008802";"0";"";""
"8";"7001";"8000";"107";"1475232008802";"0";"";""
"9";"8001";"9000";"110";"1475232008803";"0";"";""
"10";"9001";"10000";"112";"1475232008803";"0";"";""
"10";"1";"10000";"1229";"1475232008800";"3";"true";"Prim2"
"1";"1";"10000";"1229";"1475232008804";"2";"";""
"2";"10001";"20000";"1033";"1475232008804";"2";"";""
"3";"20001";"30000";"983";"1475232008805";"3";"";""
"4";"30001";"40000";"958";"1475232008806";"3";"";""
"5";"40001";"50000";"930";"1475232008808";"3";"";""
"6";"50001";"60000";"924";"1475232008808";"4";"";""
"7";"60001";"70000";"878";"1475232008809";"4";"";""
"8";"70001";"80000";"902";"1475232008812";"3";"";""
"9";"80001";"90000";"876";"1475232008813";"4";"";""
"10";"90001";"100000";"879";"1475232008814";"4";"";""
"10";"1";"100000";"9592";"1475232008803";"16";"true";"Prim2"
"1";"1";"100000";"9592";"1475232008820";"31";"";""
"2";"100001";"200000";"8392";"1475232008820";"43";"";""
"3";"200001";"300000";"8013";"1475232008826";"50";"";""
"4";"300001";"400000";"7863";"1475232008829";"58";"";""
"5";"400001";"500000";"7678";"1475232008853";"63";"";""
"6";"500001";"600000";"7560";"1475232008863";"64";"";""
"7";"600001";"700000";"7445";"1475232008878";"72";"";""
"8";"700001";"800000";"7408";"1475232008895";"75";"";""
"9";"800001";"900000";"7323";"1475232008917";"80";"";""
"10";"900001";"1000000";"7224";"1475232008929";"84";"";""
"10";"1";"1000000";"78498";"1475232008820";"193";"true";"Prim2"
"1";"1";"1000000";"78498";"1475232009014";"1445";"";""
"2";"1000001";"2000000";"70435";"1475232009015";"2205";"";""
"3";"2000001";"3000000";"67883";"1475232009016";"2738";"";""
"4";"3000001";"4000000";"66330";"1475232009018";"3208";"";""
"5";"4000001";"5000000";"65367";"1475232009051";"3413";"";""
"6";"5000001";"6000000";"64336";"1475232009122";"3562";"";""
"7";"6000001";"7000000";"63799";"1475232009228";"3785";"";""
"8";"7000001";"8000000";"63129";"1475232009349";"3919";"";""
"9";"8000001";"9000000";"62712";"1475232009486";"3845";"";""
"10";"9000001";"10000000";"62090";"1475232009767";"3810";"";""
"10";"1";"10000000";"664579";"1475232009014";"4563";"true";"Prim2"
"1";"1";"909";"155";"1475232013619";"0";"";""
"2";"910";"1818";"125";"1475232013619";"1";"";""
"3";"1819";"2727";"117";"1475232013620";"0";"";""
"4";"2728";"3636";"111";"1475232013620";"0";"";""
"5";"3637";"4545";"107";"1475232013621";"0";"";""
"6";"4546";"5454";"106";"1475232013621";"0";"";""
"7";"5455";"6363";"108";"1475232013622";"0";"";""
"8";"6364";"7272";"99";"1475232013622";"0";"";""
"9";"7273";"8181";"99";"1475232013623";"0";"";""
"10";"8182";"9090";"100";"1475232013624";"0";"";""
"11";"9091";"10000";"102";"1475232013624";"1";"";""
"11";"1";"10000";"1229";"1475232013618";"7";"true";"Prim2"
"1";"1";"9091";"1128";"1475232013626";"1";"";""
"2";"9092";"18182";"955";"1475232013626";"2";"";""
"3";"18183";"27273";"902";"1475232013627";"2";"";""
"4";"27274";"36364";"873";"1475232013629";"2";"";""
"5";"36365";"45455";"856";"1475232013630";"2";"";""
"7";"54547";"63637";"829";"1475232013633";"3";"";""
"6";"45456";"54546";"836";"1475232013631";"5";"";""
"8";"63638";"72728";"814";"1475232013637";"4";"";""
"9";"72729";"81819";"808";"1475232013640";"4";"";""
"10";"81820";"90910";"793";"1475232013643";"4";"";""
"11";"90911";"100000";"798";"1475232013646";"3";"";""
"11";"1";"100000";"9592";"1475232013626";"24";"true";"Prim2"
"1";"1";"90909";"8794";"1475232013651";"32";"";""
"2";"90910";"181818";"7683";"1475232013651";"46";"";""
"3";"181819";"272727";"7388";"1475232013669";"67";"";""
"4";"272728";"363636";"7170";"1475232013699";"54";"";""
"5";"363637";"454545";"7015";"1475232013714";"71";"";""
"6";"454546";"545454";"6927";"1475232013738";"77";"";""
"7";"545455";"636363";"6848";"1475232013774";"85";"";""
"8";"636364";"727272";"6761";"1475232013829";"87";"";""
"9";"727273";"818181";"6696";"1475232013859";"107";"";""
"10";"818182";"909090";"6671";"1475232013895";"76";"";""
"11";"909091";"1000000";"6545";"1475232013960";"104";"";""
"11";"1";"1000000";"78498";"1475232013650";"415";"true";"Prim2"
"1";"1";"909091";"71954";"1475232014067";"1233";"";""
"2";"909092";"1818182";"64373";"1475232014073";"2071";"";""
"3";"1818183";"2727273";"62156";"1475232014107";"2711";"";""
"4";"2727274";"3636364";"60704";"1475232014176";"2984";"";""
"5";"3636365";"4545455";"59687";"1475232014280";"3181";"";""
"6";"4545456";"5454546";"59003";"1475232014417";"3298";"";""
"7";"5454547";"6363637";"58244";"1475232014536";"3521";"";""
"8";"6363638";"7272728";"57813";"1475232014710";"3619";"";""
"9";"7272729";"8181819";"57236";"1475232014877";"3581";"";""
"10";"8181820";"9090910";"56943";"1475232015059";"3580";"";""
"11";"9090911";"10000000";"56466";"1475232015262";"3448";"";""
"11";"1";"10000000";"664579";"1475232014066";"4644";"true";"Prim2"
"1";"1";"833";"145";"1475232018750";"0";"";""
"2";"834";"1666";"116";"1475232018750";"0";"";""
"3";"1667";"2499";"106";"1475232018751";"0";"";""
"4";"2500";"3332";"103";"1475232018751";"0";"";""
"5";"3333";"4165";"103";"1475232018751";"1";"";""
"6";"4166";"4998";"95";"1475232018752";"0";"";""
"7";"4999";"5831";"97";"1475232018752";"0";"";""
"8";"5832";"6664";"94";"1475232018752";"1";"";""
"9";"6665";"7497";"90";"1475232018753";"0";"";""
"10";"7498";"8330";"96";"1475232018754";"1";"";""
"11";"8331";"9163";"91";"1475232018755";"0";"";""
"12";"9164";"10000";"93";"1475232018756";"0";"";""
"12";"1";"10000";"1229";"1475232018749";"7";"true";"Prim2"
"1";"1";"8333";"1045";"1475232018756";"2";"";""
"2";"8334";"16666";"883";"1475232018757";"1";"";""
"3";"16667";"24999";"834";"1475232018757";"2";"";""
"4";"25000";"33332";"807";"1475232018759";"2";"";""
"5";"33333";"41665";"790";"1475232018759";"4";"";""
"6";"41666";"49998";"773";"1475232018760";"3";"";""
"7";"49999";"58331";"773";"1475232018762";"4";"";""
"8";"58332";"66664";"740";"1475232018764";"3";"";""
"9";"66665";"74997";"748";"1475232018765";"3";"";""
"10";"74998";"83330";"741";"1475232018766";"3";"";""
"11";"83331";"91663";"725";"1475232018767";"4";"";""
"12";"91664";"100000";"733";"1475232018768";"3";"";""
"12";"1";"100000";"9592";"1475232018756";"16";"true";"Prim2"
"1";"1";"83333";"8134";"1475232018772";"23";"";""
"2";"83334";"166666";"7091";"1475232018772";"32";"";""
"3";"166667";"249999";"6819";"1475232018773";"40";"";""
"4";"250000";"333332";"6621";"1475232018775";"44";"";""
"5";"333333";"416665";"6466";"1475232018805";"48";"";""
"6";"416666";"499998";"6407";"1475232018807";"52";"";""
"7";"499999";"583331";"6300";"1475232018815";"55";"";""
"8";"583332";"666664";"6231";"1475232018821";"65";"";""
"9";"666665";"749997";"6169";"1475232018853";"71";"";""
"10";"749998";"833330";"6181";"1475232018860";"66";"";""
"11";"833331";"916663";"6070";"1475232018877";"75";"";""
"12";"916664";"1000000";"6009";"1475232018888";"68";"";""
"12";"1";"1000000";"78498";"1475232018772";"184";"true";"Prim2"
"1";"1";"833333";"66419";"1475232018957";"962";"";""
"2";"833334";"1666666";"59377";"1475232018957";"1990";"";""
"3";"1666667";"2499999";"57276";"1475232018958";"2377";"";""
"4";"2500000";"3333332";"56047";"1475232018993";"2655";"";""
"5";"3333333";"4166665";"55022";"1475232019031";"2941";"";""
"6";"4166666";"4999998";"54371";"1475232019125";"3195";"";""
"7";"4999999";"5833331";"53610";"1475232019199";"3198";"";""
"8";"5833332";"6666664";"53259";"1475232019327";"3365";"";""
"9";"6666665";"7499997";"52880";"1475232019462";"3308";"";""
"10";"7499998";"8333330";"52429";"1475232019639";"3346";"";""
"11";"8333331";"9166663";"52127";"1475232019850";"3346";"";""
"12";"9166664";"10000000";"51762";"1475232020057";"3259";"";""
"12";"1";"10000000";"664579";"1475232018957";"4359";"true";"Prim2"
"1";"1";"769";"136";"1475232023354";"1";"";""
"2";"770";"1538";"106";"1475232023355";"0";"";""
"3";"1539";"2307";"100";"1475232023355";"0";"";""
